Type,sub01_100c.csv,sub02_100c.csv,sub03_100c.csv,sub04_100c.csv,sub05_100c.csv
sub01_100c.csv,1,0.504065777,0.514445708,0.642897222,0.498298031
sub02_100c.csv,0.504065777,1,0.631178214,0.565410565,0.723367331
sub03_100c.csv,0.514445708,0.631178214,1,0.590246635,0.814346903
sub04_100c.csv,0.642897222,0.565410565,0.590246635,1,0.617602357
sub05_100c.csv,0.498298031,0.723367331,0.814346903,0.617602357,1
sub01_120c.csv,0.048012806,0.073267902,0.085670922,0.045908483,0.07719849
sub02_120c.csv,0.050493393,0.059205662,0.08469079,0.031872919,0.096468072
sub03_120c.csv,0.033539903,0.079560718,0.095768403,0.050944175,0.087800525
sub04_120c.csv,0.056292145,0.085110186,0.1010248,0.040633842,0.10603428
sub05_120c.csv,0.061820627,0.097557137,0.133934442,0.053399965,0.145572971
sub01_60c_1.csv,0.056310685,0.054777843,0.07944412,0.049580395,0.064867539
sub01_60c_2.csv,0.026448296,0.078775642,0.079429902,0.037159363,0.07746434
sub02_60c.csv,0.057975416,0.055105143,0.051284484,0.042334549,0.047817756
random100s_1.csv,0.002506041,0.002501543,0.002592512,0.001682869,0.003209382
random100s_2.csv,0.003255036,0.008400691,0.007347469,0.008354687,0.007699004
stationary100s.csv,0.038115351,0.124726871,0.089912416,0.064084152,0.081127164
